NRIC,Name,Gender,Blood type,Disease,Age,Zipcode,BMI
S4330246E,Keith Klima,M,O,COVID-19,74,442330,19.1
S3585801X,Marilyn Guard,M,O,Dengue,32,238059,23.4
S0878284S,Eugene Fontenot,M,B,Chikungunya,45,490563,28.2
S2366723Y,Jillian Gray,M,AB,Diphtheria,63,393404,22.3
T9454333X,Elizabeth Rogers,F,B,Mumps,84,162385,29.7
G4313953X,Joseph Miles,F,O,Dengue,25,679805,27.0
S9245428S,Anna Brown,M,B,Conjunctivitis,30,712482,22.3
S0421810S,Charles Zastawny,M,A,Influenza,57,371010,27.7
T3949624F,Richard Burkey,M,A,Mumps,42,105803,37.7
S2251703H,Luke Peeden,F,O,Anthrax,86,227905,29.8
S5676338N,James Blackwell,F,A,HIV/ AIDS,60,547832,37.3
G5837545J,Judy Powell,M,A,Mumps,86,324567,25.7
T1794358L,Lelia Morrison,M,AB,COVID-19,65,444248,30.5
F1806533H,James Castillo,F,O,COVID-19,47,208698,34.4
S5857220L,Justin Ellis,F,A,Smallpox,62,511394,34.5
S6640931O,Daisy Faria,M,A,Conjunctivitis,54,432330,29.5
G2259164C,Elizabeth Greener,M,B,Nipah,87,688247,38.1
F9783032L,Philip Potthoff,F,O,Pneumococcal,33,346797,28.3
F1986761I,Nicole Magana,M,AB,Food Poisoning,56,284311,29.8
G7217118N,Robert Kettl,F,AB,Hepatitis,42,115099,27.6
F1551170O,Tina Dubray,F,O,Pneumococcal,50,722343,26.2
G3247793E,Gregg Helems,M,AB,Nipah,56,768627,22.5
F3476085M,Edith Winski,F,O,Food Poisoning,55,536283,37.1
F9604438Z,David Parks,F,O,Dengue,44,187038,20.0
T5189285W,Robert Luckey,F,AB,Rabies,77,658961,27.4
F5191048W,Sandra Brock,M,A,Influenza,82,419300,34.8
G7697738A,Susan Buel,F,O,Diphtheria,78,457963,36.0
F9290481R,Lucille Monroe,M,B,Typhoid,24,322003,19.8
F9554122U,Ernest Goodwin,F,O,Chikungunya,39,597889,24.9
T1849542I,Jamie Mercado,F,AB,Typhoid,58,436563,28.2
F2003158Z,Deshawn Dillard,M,B,Diphtheria,28,256048,29.0
T1816295T,Susan Ragle,M,O,Malaria,53,111565,35.1
T8670307W,Heather Peel,F,A,Diphtheria,87,382418,34.1
F2089218K,Raymond Vanderhorst,M,AB,Rubella,89,575696,28.3
S1084427A,Gregory Guido,M,B,Malaria,73,111983,38.8
G7839895C,David Fleagle,F,A,Smallpox,29,110505,34.8
G6557812B,Blanche Rau,F,O,Anthrax,29,392332,33.4
S3083050E,Keith Hudson,M,B,Diphtheria,57,537656,23.0
F8400859R,Shari Quinlivan,F,A,COVID-19,53,331587,24.0
S1001567N,Tennille Paz,F,AB,Diphtheria,59,586688,25.1
G4954922U,Anthony Madden,F,B,Influenza,30,106624,32.0
F4598824B,Helen Springer,F,O,Cholera,24,785029,31.3
F0043022D,Keith Quirin,M,B,Hepatitis,70,621685,38.3
S1148953G,Robert Berger,M,A,Mumps,51,439459,38.3
T8912471V,Richard Razo,F,A,Cholera,51,791783,38.1
T0386556M,John Chavez,F,O,Cholera,62,747954,20.0
S7904998D,Anne Pierce,F,AB,Measles,25,319637,31.5
S7375776A,Jaimee Porter,F,B,Hepatitis,58,749963,38.9
G6350722J,Harold Allen,M,B,Tuberculosis,24,124406,28.7
T0957744E,Wava Fernandez,M,O,Rabies,36,649552,39.3
G2090306G,Donald Koprowski,M,O,Rabies,51,400422,18.7
S3077236X,Kristal Cultice,F,A,Dengue,61,377657,37.0
F4168377G,Charles Lutman,F,AB,Cholera,61,348190,22.8
T4240388M,Bobby Shiroma,M,O,COVID-19,65,473479,35.3
T8970236A,Steven Garafano,F,B,Nipah,28,686201,20.7
T2797315Y,James Hess,F,AB,Tuberculosis,79,757617,27.8
S7812035W,Marcelo Hartsfield,M,A,Conjunctivitis,38,743299,35.4
T2873600C,Nicholas Haight,F,A,Malaria,82,444302,37.1
G6201022O,William Maxwell,M,A,Anthrax,84,474398,19.1
S2013822Z,Ricky Goddard,F,AB,Typhoid,76,170832,26.0
T9466287I,Barbara Marin,F,O,Nipah,43,598379,30.3
G0418162S,Monika Rogers,M,O,Food Poisoning,76,111369,27.3
S7710248E,Kimberly Schultz,M,AB,Influenza,66,744576,38.4
T3321694A,Cheryl Beggs,M,B,Typhoid,31,214133,36.8
T2351880W,Joe Prieto,M,AB,Chickenpox,32,226102,22.1
S5152424I,Eric Miller,F,AB,Food Poisoning,18,285296,33.8
S5922827R,Paula Slate,M,A,Chickenpox,84,615240,20.7
F0924242Q,Floyd Harvey,F,A,Measles,53,446094,33.4
F3492179T,Joseph Wolf,F,O,Anthrax,20,591093,19.1
S5813501P,Katherine Watkins,F,AB,Chickenpox,64,494308,20.9
S7973410G,Truman Fuller,F,AB,HIV/ AIDS,62,678896,31.3
S4748463B,George Holmes,F,O,Plague,38,786901,39.8
T4391156C,Sean Treadwell,M,B,Rabies,52,187475,22.0
S6134371E,Deborah Robinson,F,B,COVID-19,86,635584,28.3
F6646429R,Francisco Ramsey,F,O,Influenza,23,618522,31.3
F7809272O,Mark Boyd,F,A,Hepatitis,19,675607,22.4
T1256367V,Mark Lapage,F,B,Smallpox,39,181220,22.4
T7401278V,Annie Hunter,F,AB,COVID-19,63,311156,34.9
F1561720K,Michael Caton,F,O,Measles,32,318616,26.6
S5458995X,James Economou,M,B,Chikungunya,20,766489,25.1
F8023489C,Kimberly Dismukes,M,B,Mumps,79,509006,31.4
T2688677H,Cory Coney,M,A,Rabies,33,730674,28.8
G6665764E,Raymond Dicostanzo,M,B,Chickenpox,30,803501,39.4
T2586694N,Dale George,M,A,Rubella,70,435449,37.2
G5947777E,William Thomas,F,B,Rubella,54,592915,19.6
F7131247S,Brent Fletcher,M,AB,Cholera,18,212177,25.5
S3579965G,Matthew Young,M,O,Mumps,61,489616,22.4
F4293591N,Mary Matthews,F,B,Plague,34,397066,26.4
T9095387X,Syble Storrs,M,A,COVID-19,82,124823,28.4
G5465266L,Dorothy Zito,F,AB,Mumps,50,630367,34.3
S7171803I,John Meyer,M,B,Plague,77,667307,34.8
G9614824F,Ronald Linton,F,B,Diphtheria,40,747927,18.8
T2219782N,Sarah Marsh,F,A,Malaria,53,667303,28.9
G6568158C,Carlo Ford,F,AB,Anthrax,87,517374,26.5
F1768447H,James Brown,M,A,Tuberculosis,20,542556,39.5
G8827243W,Belinda Martinez,F,A,Mumps,24,213447,30.4
T1802548B,Cynthia Seel,M,B,Rabies,84,131577,19.9
S9242460I,Timmy Bashir,F,AB,Mumps,87,237939,32.8
T0511009A,Mary Green,M,A,Malaria,20,241953,30.8
G2214369L,Leigh Watts,M,B,Cholera,67,228523,30.8
S0177060R,Juan Larson,M,A,Pneumococcal,77,395225,25.0
S3466700Q,James Lewis,F,B,Hepatitis,56,492282,36.3
S2691640F,William Mills,F,AB,Malaria,67,655294,24.1
S8027092F,Frank Schofield,F,O,Plague,18,205325,36.7
G9142763E,Mary Shuman,F,B,Chickenpox,79,675755,31.2
S8524630I,Gloria Mills,M,O,Mumps,32,527996,31.5
G7162205N,Dennis Nelson,M,A,Dengue,78,737546,37.7
G1426098M,Barbara Jones,F,O,Nipah,82,250469,19.7
T9327584H,Charles Mills,F,O,Malaria,40,400768,28.9
G5361384F,Jay Ngo,F,B,Rubella,19,371225,30.3
F6920687Y,Sudie Elwood,F,AB,Influenza,45,643538,21.2
T2942424O,Reanna Daniels,M,O,Influenza,77,674800,21.2
F3148178J,Andrea Darland,F,O,Conjunctivitis,78,674919,33.9
F3556575U,David Rule,F,B,Malaria,77,493496,30.4
T9233132J,Debra Lynaugh,F,B,HIV/ AIDS,55,500736,19.8
S2223001F,Sarah Farmer,M,B,Rubella,34,580628,28.7
F4789468X,Linh Valenzuela,M,O,Smallpox,82,351489,29.4
F3146226C,Marcia Laird,F,A,HIV/ AIDS,75,465522,18.8
F0499029G,Mary Tamez,F,AB,Hepatitis,67,616940,31.4
F4556105Z,Teresa Davenport,F,A,Anthrax,44,167249,38.0
S5336179D,Donald Packard,F,A,Nipah,73,319601,38.9
S3930291Z,Felix Hassard,M,B,Nipah,23,312005,20.1
T6471444U,Marian Nunez,M,B,Anthrax,44,518104,21.8
T4096686K,Veronica Guillen,M,O,Typhoid,22,481191,34.8
S9587123Y,Elizabeth Geiger,M,B,Anthrax,29,664766,32.3
S5891568F,Johnnie Mccrimmon,M,O,Hepatitis,42,279304,26.8
S7601795R,Dorothy Hunt,M,B,Tuberculosis,56,430513,39.2
T2701143H,Harold Bird,F,O,Malaria,37,479521,25.1
F7457181N,Melanie Jolly,M,AB,Tuberculosis,54,536224,24.4
S5018669V,Kristin Ortega,F,B,Tuberculosis,55,102925,18.9
F5872612V,David Mullett,M,B,HIV/ AIDS,70,121253,20.4
S4588848X,Stacy Miller,F,O,Mumps,30,243244,29.9
F1632622J,Shirley Goodermote,F,O,Measles,54,501715,25.8
T0410192A,Linda Walker,M,AB,Typhoid,18,245041,39.0
T1493167Q,Mallory Norley,M,AB,Conjunctivitis,56,228097,25.2
T0462475A,Allison Barksdale,M,A,Diphtheria,39,275751,23.6
T5310239W,Jessica Mckenzie,F,AB,Hepatitis,41,471265,24.9
F4557630S,Charles Green,M,O,Plague,58,302824,25.7
S9178630A,Marie Lowers,F,O,Rubella,71,452316,26.1
T6300184L,Hector Topps,M,A,Conjunctivitis,45,479011,37.3
F7385871R,Kevin Smith,F,AB,Rubella,43,791572,32.7
T7517943Z,Michael Brassil,M,B,Nipah,59,679575,34.3
T2147892Y,Susan Mcgraw,M,O,Nipah,34,782818,20.9
S6620054I,Emma Grimes,M,A,Pneumococcal,86,217473,32.1
S8286130V,Edward Jones,M,B,Rubella,83,592965,32.2
F0884777C,Jay Harris,M,AB,Food Poisoning,32,244845,30.1
F8700022K,David Allard,F,B,HIV/ AIDS,79,578960,27.9
F5057327K,Ronnie Collazo,M,O,Smallpox,68,705431,35.2
G1757663I,Richard Bailey,M,O,Dengue,54,690684,39.7
T4129169F,Eliza Gauthier,F,AB,Anthrax,60,588140,39.3
T4391057V,Edna Lewis,M,O,Measles,29,659435,37.2
S4587655E,George Giddens,M,B,Rubella,74,532727,30.1
G5923397X,William Marlin,F,O,Chickenpox,33,262456,37.5
G6231773T,Shelley Levinson,M,B,Rubella,39,358284,28.5
S9281023Y,Billy Copher,M,AB,Rubella,77,599831,30.4
T2778952O,John Gupton,F,B,HIV/ AIDS,63,386582,19.2
F8568335H,Linda Fitzwater,F,AB,Tuberculosis,29,294648,34.5
T5635324A,Cheryl Armstrong,M,B,Plague,41,416921,23.4
S6355032E,Kyle Epley,M,A,Dengue,78,722026,32.7
G1103380W,Lawrence Comeaux,F,B,Typhoid,29,626222,22.7
S2554559H,Barbara Neal,M,AB,Cholera,74,390263,23.2
G1175678C,Megan Lopez,F,O,Dengue,22,169110,34.4
F5979184O,Gail Martinez,F,O,Chickenpox,43,610399,36.4
T2635259T,Rosella Ingole,F,A,HIV/ AIDS,21,611000,32.4
S0921816G,Steven Morrison,M,B,Nipah,43,651530,38.6
G2228291A,Roberta Clark,M,O,Food Poisoning,65,332169,24.9
S8919078O,Sharon Oliver,F,A,Influenza,58,797326,28.7
T9122880W,Eleanor Purvis,F,AB,HIV/ AIDS,57,481035,34.3
S5024197N,Mary Gordon,F,A,Dengue,87,139968,26.5
F4332852O,Gerardo Setser,F,AB,Malaria,51,232647,30.8
T3841505J,Harriet Hunter,F,AB,Influenza,55,585464,34.4
G7764876W,Randy Collett,F,A,Chickenpox,71,624012,34.4
F2729941Q,Mary Wolcott,M,B,Nipah,79,228634,37.3
S6485245S,Mamie Nelson,M,AB,Plague,80,436445,36.7
G9184067F,Giuseppe Oglesbee,F,B,Nipah,34,110198,32.1
G2584549I,Margaret Camel,F,O,Typhoid,27,624900,35.7
T5945027M,Julia Alcantara,M,AB,Plague,38,679721,39.1
T7139774W,Kathryn Mayberry,M,AB,Conjunctivitis,53,479038,31.7
S7522166E,Ernest Sledge,F,AB,Food Poisoning,21,748998,31.6
F0352226G,Frank Callahan,F,A,Chikungunya,30,399251,31.5
G0117979U,William Mattocks,F,B,Tuberculosis,26,802674,35.3
T7222536T,Eileen Crum,F,B,Plague,83,644999,20.9
T3917720L,Hazel Padgett,M,AB,Mumps,41,333371,22.3
S7648240O,Danielle Shan,M,AB,Chickenpox,81,360855,38.4
S6297519X,David Ivey,F,A,Anthrax,78,164045,31.9
G3153441P,Richard Viveiros,F,AB,Tuberculosis,71,666124,35.6
G5033373I,Sara Sparks,F,AB,Hepatitis,87,514438,28.9
G3442778P,Linda Davis,M,A,Food Poisoning,18,698738,39.8
S5747401U,Nathaniel Reaves,F,B,Anthrax,65,225169,39.1
G9522648C,Denise Jones,M,B,Chickenpox,38,494104,28.7
T3566535S,Melanie Yount,M,AB,Smallpox,36,658753,32.8
S2267605C,Brandy Sabbagh,M,A,Dengue,87,407024,30.0
S2030804U,Connie Pina,F,O,Anthrax,56,121934,27.6
F9070139O,Jacqueline Morgan,F,A,Food Poisoning,22,583343,21.9
T2731957M,Brandon Piro,M,AB,Malaria,23,756777,30.7
T6623971R,India Byars,F,O,Diphtheria,72,226785,31.1
T9918434L,Elease Dawkins,M,AB,Malaria,47,471774,21.4
T5455370B,Karen Jones,M,B,Malaria,88,554061,24.2
F9807697C,Kathryn Brinker,M,B,Malaria,19,184966,29.1
F8714559E,Brenda Tsasie,F,AB,HIV/ AIDS,81,681369,39.7
S2779956Z,Tiffany Martin,M,O,Pneumococcal,37,676210,29.0
G2856873Q,Willie Bartlett,F,AB,Malaria,73,736383,28.8
F8948106O,James Thorne,M,A,COVID-19,48,103298,30.0
G2166104W,Maurice Metzler,M,B,Malaria,82,790551,22.5
T6526185Z,Rodney Woodward,M,O,HIV/ AIDS,30,522157,26.3
G5207839Q,Helen Graber,F,O,Smallpox,50,739833,35.7
G3702102P,Gregory Ward,M,O,Influenza,75,673036,27.4
S9606291Y,Charles Jamison,F,B,Conjunctivitis,51,468847,22.0
T2328778R,Dennis Jones,M,O,Chikungunya,57,299989,36.8
S9670190R,Alice Poling,M,O,COVID-19,76,404624,27.5
F1957510G,James Larson,M,A,Food Poisoning,78,368991,33.9
T6114448I,Lauren Richardson,F,B,Conjunctivitis,73,593496,36.5
F3755949B,James Binkley,F,O,Smallpox,22,636651,20.3
G9833922C,William Cordova,M,A,Chickenpox,41,229115,39.7
S7924032P,Colby Lewis,F,A,HIV/ AIDS,57,785412,20.0
G9536756I,Patricia Gilmore,M,O,Dengue,69,620459,24.0
S2413268Q,David Aylesworth,M,O,Cholera,49,732326,28.8
T5308676J,Rose Torres,M,O,Chikungunya,28,213473,24.4
G9457552X,Evelyn Williams,F,B,Influenza,70,514245,35.5
T6103157F,James Trevino,M,AB,Diphtheria,31,235454,34.0
F6146088J,Louis Spencer,M,AB,Diphtheria,47,296774,30.5
S6877112I,Robert Spencer,M,O,Dengue,73,261383,19.4
S6270250C,Pauline Murphey,F,AB,Conjunctivitis,28,151069,22.7
T5469026I,Marcy Johnson,F,AB,Measles,74,128872,21.0
G7454577G,Gordon Wright,F,O,Food Poisoning,54,393237,38.7
F2694780N,James Mikolajczyk,M,AB,Food Poisoning,47,696562,32.0
F4481847B,Lara Ash,F,O,Cholera,51,739301,31.9
F7947198L,Bell Graves,M,AB,Cholera,20,144712,27.4
S1463715I,Sarah Hatfield,M,B,Measles,31,258583,21.8
T8593157U,Karen Coley,M,B,Nipah,39,740792,21.6
G2710404F,Erika Strohman,M,O,Measles,37,695409,34.6
F8188968P,Bernice Meiners,F,O,Conjunctivitis,43,383328,25.5
F8030963L,Brandon Glander,M,B,Mumps,61,274532,28.4
T5042459L,Christopher Miller,M,A,Tuberculosis,18,323080,28.7
T4002692D,Linda Christian,F,A,Measles,61,104339,24.3
S9451901V,Juan Weiss,M,AB,Dengue,64,123813,30.9
S7835969V,Marta Terry,M,O,COVID-19,78,412659,38.4
T7195686Q,Gaye Maybury,F,AB,Smallpox,75,531445,19.8
S0985207E,Jenny Harrison,F,A,Food Poisoning,76,750296,39.9
F0396552I,Gordon Goforth,M,O,Chikungunya,53,151099,24.4
F1550734D,Sonya Smith,M,O,HIV/ AIDS,72,695313,19.0
S5540424T,Charles Burge,F,O,Rabies,49,497826,22.9
T0351340T,Nichole Cammack,M,AB,Diphtheria,49,211211,36.6
T5420557X,Ben Cardin,M,O,Conjunctivitis,33,281119,30.4
T5479741C,Mary Johnston,F,AB,Diphtheria,29,292937,37.2
F1294305B,Elizabeth Thompson,M,O,Plague,73,110299,19.8
G4916590Q,Michael Gillispie,F,O,Smallpox,31,199912,18.7
F8758522S,Rose Rodriquez,F,B,Chikungunya,80,205238,18.5
S6778232O,Letitia Minor,F,A,Pneumococcal,58,597310,25.7
S9066119F,Mildred Bookman,M,A,Food Poisoning,43,789466,37.4
T2165810T,Chauncey Sindelar,F,B,Malaria,80,123555,35.0
T7393745X,Rose Weal,F,B,Typhoid,82,355903,21.4
S5515675O,Thad Greenberg,F,B,Rabies,49,254381,23.2
T5375887J,Mark Nicola,M,O,Malaria,19,799226,26.9
S4967617S,Arthur Spielman,M,A,Tuberculosis,48,760115,18.8
S9363261W,Patrick Brown,M,O,HIV/ AIDS,53,421175,24.4
G6075772U,Albert Dallas,F,A,Hepatitis,82,538356,39.5
S6747512V,Jamie Wright,M,A,Malaria,27,539864,19.0
G1987088A,Carrie Johnson,M,A,Malaria,37,789980,35.8
S0652382P,Helen Selby,F,O,Anthrax,30,639546,28.9
T5908485N,Bruce Hage,M,A,Plague,84,275371,20.5
S5156675R,Wade Sosa,M,AB,Diphtheria,83,526342,29.1
T4597545V,Bonnie Mann,M,AB,Chikungunya,38,660185,32.0
G3168418K,Marcus Henning,M,A,Malaria,72,791025,31.1
F7263036Y,Leo Edwards,F,AB,Pneumococcal,23,389585,20.3
S6928681K,Dorothy Leeds,F,A,Smallpox,51,566183,19.0
F6573549C,Rosa Tinsley,F,O,Rabies,78,746185,35.4
T1710376J,Caroline Taylor,F,AB,COVID-19,80,511147,37.6
T7929530L,James Clark,M,B,Anthrax,76,363886,36.6
S1811275H,Harold Littlefield,F,O,Nipah,62,269256,36.7
T6020603W,Kenneth Woodman,F,A,Dengue,70,259227,27.1
F8412492M,Bryan Niederberger,F,AB,Influenza,29,577281,31.7
G5343434Q,Yolanda Lally,M,AB,Chickenpox,53,296538,38.9
S6719872W,Jean Hill,F,B,Typhoid,40,665722,19.2
G4364052R,Anna Hughes,M,O,Nipah,68,520473,20.4
S7394224I,Katherine Mcgowan,F,B,Rabies,66,425717,18.7
F1146095L,Mario Knight,F,AB,Cholera,53,316355,27.4
F7144755K,Rodney Cornwell,M,O,Rabies,65,551392,35.4
T0675963W,Annie Gjertsen,M,O,Pneumococcal,66,526181,23.2
G5775973D,Steven Whittemore,F,AB,Plague,22,498731,21.5
F0410110Y,Judith Stutts,F,B,Pneumococcal,72,472466,21.1
F1278746H,Clarence Mcnicholas,F,O,Chikungunya,83,531562,19.0
T3333409O,Lois Smith,F,B,Chikungunya,85,249197,19.8
G4235210U,Tom Chandler,F,B,Food Poisoning,22,776664,36.6
T7463868U,Harry Morales,M,A,Pneumococcal,54,107286,26.2
F5416564J,Elizabeth Neff,M,AB,Tuberculosis,32,184195,35.1
S2911420C,Layla Zamora,M,A,Rabies,76,270182,20.7
T7611262L,Thomas Wong,F,A,COVID-19,26,752721,20.9
S1075580B,Michael Seger,M,O,Smallpox,35,490499,29.7
S9626316R,Evangelina Goode,F,O,Plague,45,234395,27.0
S8622569E,David Turner,M,AB,Cholera,83,121945,36.0
F8281210J,Laura Kotterna,F,AB,Plague,18,304746,39.5
S3330926Y,Jerome Barnes,M,B,Rubella,85,380338,28.0
G2777445S,Janette Sargent,M,AB,Malaria,29,302146,29.9
G4905802E,Robert Matheis,M,AB,Nipah,69,146040,23.3
F0544922Q,Alma Craine,F,B,Cholera,31,145559,36.4
G0220051B,Angie Ward,M,AB,Malaria,89,603958,36.9
T2439907G,Reba Heil,M,AB,Cholera,29,349196,32.6
F8163376A,Keith Lundy,F,O,Measles,87,372066,27.8
F5178656M,Joan Roy,F,AB,COVID-19,25,236248,27.9
F7863463K,Shirley Martinez,M,A,Chikungunya,87,369370,37.7
T7503611S,Linda Maus,F,AB,Dengue,22,141305,23.8
S5926395I,Karen Bell,F,B,Plague,64,601343,38.3
G1386625D,Charles Mcconnell,F,B,Diphtheria,52,621875,22.2
T2904884B,Albertine Ferris,F,O,COVID-19,78,529347,20.3
G8878189O,Fred Bair,F,A,Measles,43,606263,39.7
T9633016W,Stephen Williams,F,A,Plague,62,427654,30.3
T0965591N,Greg Bayles,M,AB,Tuberculosis,51,135268,32.1
F3832077W,Donald Debarros,M,AB,COVID-19,87,444190,27.9
F6118870G,Christopher Nichols,F,AB,Rubella,82,249377,30.0
S9863270M,Donna Perez,M,A,Hepatitis,31,632508,29.7
F3114237A,Katherine Gholston,F,O,Dengue,40,558447,32.4
G4742774C,Denise Lowe,F,A,Dengue,34,570297,35.5
S2732804E,Thomas Chow,F,AB,Smallpox,64,117163,22.8
T8981971G,Justin Criswell,M,A,Influenza,26,540787,19.9
S2219403B,Lisa Smith,M,O,Hepatitis,69,724239,38.6
F2010559W,Alan Shane,M,AB,Conjunctivitis,22,738482,35.3
F8178508R,Jeffrey Castro,F,A,Rubella,52,530064,32.0
F9040813A,Teresa Hill,M,B,Influenza,74,412508,22.6
F5250091A,Joyce Hancock,M,AB,COVID-19,31,170326,38.5
T4136093Z,Tiffany Scott,M,O,Smallpox,47,348498,22.9
F9292629X,Frank Patrick,F,A,Tuberculosis,75,700168,39.9
T8295697X,Jill Lutz,M,B,Malaria,39,162374,33.3
T0646534L,Jodi Whittaker,M,O,Nipah,33,267993,30.2
S6454622M,George Jennings,M,O,Conjunctivitis,26,217123,34.0
F3652029P,Justin Rutkowski,F,AB,Typhoid,44,318641,36.6
G9846852L,Frances Allred,M,O,Nipah,64,168142,32.9
G6359290R,Maria Ware,M,B,Influenza,85,637763,32.2
S5333622T,Jenine Laschinger,F,O,Smallpox,37,786108,27.5
T8835407N,Candyce Tannenbaum,M,O,Rabies,31,357763,32.5
S5260201B,Pablo Turner,M,AB,Chickenpox,67,513197,23.3
F7617230I,Mary Goodman,M,B,Typhoid,37,122497,36.1
S1486318O,George Bennett,F,A,Rabies,19,695610,30.9
F7247129N,Mable Gullett,M,AB,Food Poisoning,70,798628,23.3
T3920524S,Paul Anderson,F,AB,Food Poisoning,27,261140,36.6
F4306063A,Stephen Woo,M,AB,Measles,63,640424,23.1
G9202529N,Kathleen Acosta,F,B,Tuberculosis,60,253952,28.0
S5459656U,Henry Marshall,M,AB,Cholera,81,224138,22.9
T3160587Z,Kenneth Flowers,F,AB,Plague,34,587205,29.8
G9593870Y,Terrence Tallman,F,O,Dengue,40,745777,22.0
S4222904R,John Panella,F,A,HIV/ AIDS,89,780976,27.8
G7435234M,Benjamin Drew,F,AB,Mumps,84,383504,34.0
G2864761H,Dora Flanagan,M,O,Mumps,76,341934,29.4
G9118985K,William Wilson,F,O,COVID-19,73,233578,33.5
S2101553H,Janessa Leavins,M,B,Diphtheria,89,807734,22.3
T4888033D,Mary Daniels,F,O,Rubella,70,730158,35.4
F9612603N,David Green,F,B,Typhoid,74,422865,21.0
F1191260K,Helen Wakefield,M,B,Rubella,31,574998,25.3
S3630034D,Jeffrey Kline,F,A,Nipah,45,461032,29.0
S4874518A,Marc Manzi,F,B,Typhoid,24,563503,25.3
G1550012G,Mary Gullatt,F,A,Nipah,76,597839,20.6
G2489978H,Gerard Johnson,F,B,Conjunctivitis,74,106174,21.6
T2660827M,Stanley Grant,F,A,Chickenpox,29,452247,26.9
G6338407V,Billy Bagwell,M,O,Chikungunya,40,405096,34.5
T4859405I,Michael Baldwin,F,B,HIV/ AIDS,69,686031,39.9
G5090006N,Chris Pearson,F,B,Measles,42,223003,39.5
F8828859U,Robert Walker,F,B,Anthrax,71,630599,32.9
F3693553N,Christopher Harvey,F,A,Pneumococcal,79,437659,32.9
S8332061T,Brent Funston,M,O,Malaria,59,203263,18.7
F7167763I,Hulda Garcia,M,O,Mumps,64,400642,39.8
S1024696N,Edward Bacich,F,O,Rubella,19,250196,22.3
G1206648W,David Lewis,F,O,Smallpox,84,767899,35.0
S5397906Y,Leonard Wease,F,AB,Tuberculosis,75,363469,30.8
G5249848W,Mary Howell,F,A,Rabies,39,518103,21.4
S0729982O,Eddie Argabright,M,O,Dengue,66,185912,39.5
S7898701X,Elizabeth Nguyen,M,A,Measles,59,334842,38.4
T4461348M,Kurt Roy,M,O,Influenza,23,684879,36.4
G7538349Y,Francisca Pittman,F,O,Rabies,35,783475,25.7
G8452996L,Solomon Pacheco,M,AB,Cholera,52,585910,37.8
G5091515H,Cynthia Hollingsworth,M,O,Rabies,18,689179,30.1
G0109248S,Tanesha Shoulders,F,AB,Plague,63,585172,27.6
S2757961P,Daniel Flowers,M,AB,Smallpox,81,446662,29.9
F2533200H,Virginia Padron,F,AB,Dengue,29,643856,26.3
T8976342N,Ethel Guerra,F,A,Smallpox,64,700737,34.4
S6681498P,Melisa Bradford,M,B,Food Poisoning,49,438611,33.4
S6291559B,Lisa Sampieri,M,AB,Smallpox,32,475049,35.2
F0546939P,Donald Stillman,M,AB,HIV/ AIDS,42,605138,35.5
F1731862J,Yvonne Morefield,M,AB,Hepatitis,81,329874,25.5
S4067933I,Michael Southard,F,B,Tuberculosis,21,675345,32.3
T3143847H,Deborah Howard,M,A,Measles,70,194214,37.5
F9723788X,Viola Rockhill,M,AB,Cholera,74,443451,20.9
G3638849D,William Slattery,M,A,Diphtheria,82,107717,27.2
T1139133N,Catherine Britton,M,A,Malaria,89,345602,26.4
G7985652Q,Jerome Slater,M,B,Plague,34,389370,22.5
T5790284V,Marlene Mitchell,F,AB,Rubella,39,202598,37.8
T0057709B,Savannah Mohler,F,B,Hepatitis,24,257323,26.7
G4949840U,Joyce Connor,M,B,HIV/ AIDS,39,510438,23.4
T2475827V,Claire Mcknight,M,A,Tuberculosis,71,192408,33.3
G4775329Z,Jose Lee,F,B,Smallpox,51,480419,31.2
T5586809C,Michael Mathews,F,AB,Chikungunya,68,546034,33.1
G7393751X,Stacy Hawkins,M,A,HIV/ AIDS,81,699716,23.2
S1751286P,Esther Shipp,M,A,Conjunctivitis,80,345358,34.7
T5628558V,John Ventura,F,B,Influenza,84,532745,33.2
T6625661R,Virginia Sower,M,AB,COVID-19,61,564403,21.6
G1663770Z,Keith Harris,F,AB,Mumps,78,446172,28.9
S2655939K,Tracy Lopez,M,AB,COVID-19,32,586473,24.5
G1237626N,Catherine Fierst,M,AB,Conjunctivitis,69,399150,34.7
S0808386J,Peter Padmore,M,A,COVID-19,49,398056,19.9
F5237116C,Raymond Rea,M,AB,Rubella,76,529893,26.2
S0906238D,Donald Bright,F,O,Nipah,69,655484,34.7
G3831663E,Daniel Benson,F,AB,Influenza,53,215105,39.8
T1876496S,Ronald Frith,M,AB,Diphtheria,82,716708,33.7
T4934228X,Marc Smith,F,B,Typhoid,69,730949,20.6
T5172747B,Walter Nobel,F,A,Measles,75,193515,32.1
G5884631N,Susan Robert,F,AB,Typhoid,42,320692,22.1
S3029420L,Michael Ott,F,O,Hepatitis,41,324234,23.3
F1771206X,Frank Ostrom,M,AB,Measles,73,662365,24.2
T1807395J,Kristi Siebold,M,B,Malaria,24,495666,26.5
F8481095T,Rhonda Fatica,F,AB,COVID-19,22,528885,22.4
S2045623L,Elmo Miller,M,AB,Anthrax,59,359842,31.7
F1180962H,Joanne Walkner,F,A,Food Poisoning,72,737330,38.5
F5803487N,James Buckhalter,M,A,Chickenpox,58,127742,24.7
S4058723U,Jack Choi,M,AB,Tuberculosis,36,617673,27.7
